jiào,叫,to be called
xìng,姓,"surname, one’s family name is"
míngzi,名字,name
nǎguórén,哪国人,a person of which country
nǐ,你,you
wǒ,我,"I, me"
rènshì nǐ hěn gāoxìng,认识你很高兴,It's nice to meet you
shì,是,is
Měiguó,美国,United States
Zhōngguó,中国,China
máng,忙,busy
lèi,累,"tired , tiring"
hǎo,好,good
nǐmen,你们,"you (plural), y'all"
xuéshēng,学生,"student, students"
lǎoshī,老师,teacher
zàijiàn,再见,goodbye
Rìběn,日本,Japan
tā,他,"He, him"
yào,要,to want
xǐhuan,喜欢,to like
hē,喝,to drink
chī,吃,to eat
kāfēi,咖啡,coffee
cài,菜,"dish, cuisine"
chá,茶,tea
kǒu,口,measure word for family members
gè,个,"general measure word, measure word for people"
bàba,爸爸,father
māma,妈妈,mother
gēge,哥哥,older brother
jiějie,姐姐,older sister
dìdi,弟弟,younger brother
mèimei,妹妹,younger sister
jiā,家,"home, family"
hé,和,and
shéi,谁,who
gǒu,狗,dog
hǎokàn,好看,good-looking
shū,书,"book, books"
xiōngdì jiěmèi,兄弟姐妹,siblings
fángzi,房子,house
jiārén,家人,family member
jièshào,介绍,to introduce
piàoliàng,漂亮,beautiful
zhāng,张,"a measure word for photograph, picture, paper, table etc."
nǚér,女儿,daughter
māo,猫,cat
zhàopiàn,照片,"pictures, photos"
duō,多,"many, more"
liǎng,两,two
kěài,可爱,"cute,lovely"
kuài,块,piece； dollar
bēi,杯,"cup, cups"
píng,瓶,"bottle, bottles"
mǎi,买,buy
qián,钱,money
dōngxi,东西,"thing, things, stuff"
xièxie,谢谢,Thank you
búkèqì,不客气,You're welcome
xiē,些,some
bǎi,百,hundred
yígòng,一共,altogether
jīntiān,今天,today
jǐdiǎn,几点,What time
fēn,分,minute
kàn,看,"to read, to watch"
diànyǐng,电影,movie
shàngwǎng,上网,Surf Internet
xiànzài,现在,now
bàn,半,half
zuò,做,to do
zuòfàn,做饭,to cook
chīfàn,吃饭,to eat
qǐngwèn,请问,"Excuse me, may I ask…"
fànguǎn,饭馆,restaurant
fúwùyuán,服务员,"waiter, waitress"
bēizi,杯子,cup
zhēn,真,really
diǎncài,点菜,to order food
hǎochī,好吃,tasty/delicious
shuǐ,水,water
shǎo,少,few
mǎidān,买单,to pay
zuótiān,昨天,yesterday
míngtiān,明天,tomorrow
shénme shíhou,什么时候,when
shàngwǔ,上午,morning
xīngqī,星期,"Week, day of the week"
qǐchuáng,起床,wake up
zǎofàn,早饭,breakfast
shuìjiào,睡觉,sleep
shàngkè,上课,"go to class,attend class"
xiǎng,想,"to want to ,to plan to/to think"
yuè,月,month
rì,日,day
xiàwǔ,下午,afternoon
wǎnshàng,晚上,evening
qǐng,请,"to treat, to invite"
lái,来,to come
yǒukòng,有空,"have free time, to be free"
duìbùqǐ,对不起,sorry
méiguānxi,没关系,"that's ok, no problem"
shēngrì,生日,birthday
dǎqiú,打球,"to play ball games, ball sports"
lánqiú,篮球,basketball
qiúsài,球赛,"match, ball games"
guàngjiē,逛街,shopping
zhōumò,周末,weekend
zǎoqǐ,早起,to wake up early
juéde,觉得,"to feel,to think,to consider"
hǎowán'er,好玩儿,"interesting, fun, enjoyable"
yùndòng,运动,"exercise, to exercise"
diànyǐngyuàn,电影院,cinema
xuéxí,学习,to study
jiǔba,酒吧,bar
píjiǔ,啤酒,beer
yǒuyìsi,有意思,"interesting, fun"
wúliáo,无聊,"boring,bored"
máfán,麻烦,"be annoyed,to bother, troublesome, annoying"
chūmén,出门,to go outside
zhǒng,种,"kind,type"
yìqǐ,一起,together
suànle,算了,forget about it
xiàyǔ,下雨,raining
wàimiàn,外面,outside
méi wèntí,没问题,no problem
kěshì,可是,but
zuòcài,做菜,cooking
chànggē,唱歌,to sing
shuō,说,"say,speak a language"
hànyǔ,汉语,Mandarin
yīngyǔ,英语,English
búcuò,不错,"pretty good, not bad"
jiāo,教,to teach
xiězì,写字,to write
kuài,快,"fast, quick"
gōngkè,功课,homework
túshūguǎn,图书馆,library
zhōngfàn,中饭,lunch
wǎnfàn,晚饭,dinner
zhōngwǔ,中午,noon
fēicháng,非常,"very,extremely"
tí,题,question
nán,难,difficult
xīn,新,new
jiù,旧,"old, used, worn"
dà,大,big
zhī,支,Measure word (for a cell phone etc)
shāngdiàn,商店,"shop, store"
shǒujī,手机,cell phone
kànyíkàn,看一看,"look, have a look"
wàn,万,ten thousand
qiān,千,thousand
néng,能,to express ability
shàngmiàn,上面,on top of
xiàmiàn,下面,down/under
pángbiān,旁边,next to/beside
lǐmiàn,里面,inside
dàlóu,大楼,building
hǎibiān,海边,beach
zhù,住,to live
zhīdào,知道,to know
huānyíng,欢迎,"to welcome, welcome"
wánr,玩儿,"to play, have fun"
gōnggòng qìchē,公共汽车,bus
zìxíngchē,自行车,bicycle/bike
zǒulù,走路,to walk
zhàn,站,"stations, stops"
yǐzi,椅子,chair
xiūxí,休息,to take a rest
shàngbān,上班,to go to work
zuò,坐,"to take (a bus, airplane etc)"
qí,骑,to ride
chāoshì,超市,supermarket
jiàn,件,"Measure word (for events, things, clothes etc)"
yīfú,衣服,clothes
duìle,对了,by the way
gàosù,告诉,to tell
jīdàn,鸡蛋,egg
wàngle,忘了,to forget
niúnǎi,牛奶,milk
zěnme,怎么,how to...?
zǒu,走,"to get there,walk"
qián,前,front/forward/ahead
jiù,就,"then,right away"
yóujú,邮局,post office
rènshì,认识,"to know, to recognise"
lù,路,road
zuǒguǎi,左拐,to turn left
yòuguǎi,右拐,to turn right
cóng,从,from
dào,到,"to arrive, arrive"
shìqíng,事情,"Affair,matter,thing"
děi,得,"must,have to"
shíjiān,时间,time
pà,怕,"to fear, to be afraid of"
dānxīn,担心,"anxious,worried
to worry"
kǎoshì,考试,"to test, test, exam"
jīnnián,今年,this year
bùhǎoyìsi,不好意思,"excuse me, to be sorry"
tīng yīnyuè,听音乐,to listen to music
fùjìn,附近,nearby
zhàoxiàng,照相,to take a photo
bówùguǎn,博物馆,museum
péngyǒu,朋友,"friend, friends"
tiān,天,day
děng yìhuǐr,等一会儿,"Wait a moment, later"
dìfāng,地方,"area, place"
yuǎn,远,far
jìn,近,near/close
xiǎoshí,小时,hour
shān,山,mountain
